timestamp,open,high,low,close,volume
2021-04-01,193.3600,196.9690,183.6000,191.4500,9334345
2021-03-31,197.5000,199.4600,187.1102,189.8200,8393834
2021-03-30,187.5000,204.3000,182.0000,194.4600,17094924
2021-03-29,180.7500,193.9200,173.5100,181.3000,10042175
2021-03-26,197.6800,218.9344,163.2600,181.0000,37430672
2021-03-25,123.4900,187.5000,116.9000,183.7500,49926442
2021-03-24,157.9800,166.9700,118.6200,120.3400,24177877
2021-03-23,197.5000,201.7500,177.5500,181.7500,14429145
2021-03-22,205.2600,210.3562,186.1952,194.4900,10061505
2021-03-19,195.7300,227.0000,182.6600,200.2700,24677297
2021-03-18,214.0000,218.8800,195.6500,201.7500,11799914
2021-03-17,217.8400,231.4700,204.0000,209.8100,16481589
2021-03-16,203.1600,220.7000,172.3500,208.1700,35422867
2021-03-15,277.5200,283.0000,206.0000,220.1400,24226187
2021-03-12,274.9965,295.5000,262.2700,264.5000,25845899
2021-03-11,241.6400,281.5000,232.6000,260.0000,28312493
2021-03-10,269.4300,348.5000,172.0000,265.0000,71570566
2021-03-09,217.7100,249.8500,208.5101,246.9000,39099331
2021-03-08,154.8900,210.8699,146.1000,194.5000,63565620
2021-03-05,128.1700,151.5300,127.5000,137.7400,30733673
2021-03-04,125.0000,147.8699,115.3000,132.3500,32606893
2021-03-03,122.5100,127.7500,113.1200,124.1800,19273882
2021-03-02,116.9300,133.2000,112.2000,118.1800,33783044
2021-03-01,104.5400,133.9900,99.9700,120.4000,49793965
2021-02-26,117.4600,142.9000,86.0000,101.7400,90842694
2021-02-25,169.5600,184.6800,101.0000,108.7300,145443658
2021-02-24,44.7000,91.7100,44.7000,91.7100,48556520
2021-02-23,44.9700,46.2300,40.0000,44.9700,7565215
2021-02-22,46.6900,48.5100,42.4000,46.0000,18864590
2021-02-19,41.2800,43.8900,38.5000,40.5900,14828238
2021-02-18,48.4900,48.8700,40.6500,40.6900,23990555
2021-02-17,49.7700,51.1900,44.5600,45.9400,9147635
2021-02-16,52.6600,53.5000,49.0400,49.5100,8175030
2021-02-12,50.7500,55.2400,48.0500,52.4000,14573264
2021-02-11,50.0100,55.3200,48.2201,51.1000,13056725
2021-02-10,50.7700,62.8300,46.5500,51.2000,35943280
2021-02-09,56.6100,57.0000,46.5200,50.3100,25598598
2021-02-08,72.4100,72.6600,58.0200,60.0000,25687282
2021-02-05,54.0400,95.0000,51.0900,63.7700,81345013
2021-02-04,91.1900,91.5000,53.3300,53.5000,62427275
2021-02-03,112.0100,113.3999,85.2500,92.4100,42698511
2021-02-02,140.7600,158.0000,74.2201,90.0000,76663691
2021-02-01,316.5600,322.0000,212.0000,225.0000,37382152
2021-01-29,379.7100,413.9800,250.0000,325.0000,49414294
2021-01-28,265.0000,483.0000,112.2500,193.6000,58815805
2021-01-27,354.8300,380.0000,249.0000,347.5100,90516825
2021-01-26,88.5600,150.0000,80.2000,147.9800,161894423
2021-01-25,96.7300,159.1800,61.1300,76.7900,177874000
2021-01-22,42.5900,76.7573,42.3200,65.0100,194084194
2021-01-21,39.2300,44.7500,37.0000,43.0300,57079754
